Net Value Per Share (B),Total debt/Total net worth,Debt ratio %,Net worth/Assets,Total Asset Turnover,Quick Assets/Total Assets,Current Assets/Total Assets,Quick Assets/Current Liability,Current Liability to Assets,Working Capital/Equity,Long-term Liability to Current Assets,Total expense/Assets,Working capitcal Turnover Rate,Cash Flow to Sales,Current Liability to Liability,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Net Income Flag,Equity to Liability,Bankrupt?,Operating Expense Rate,Total income/Total expense
0.14795,0.0212659,0.207576,0.792424,0.0869565,0.166673,0.190643,0.00199677,0.147308,0.721275,0.0255924,0.0648557,0.593831,0.671568,0.676269,0.312905,0.11825,0,0.716845,1,0.0164687,1,0.000125697,0.00202161
0.182251,0.0125024,0.171176,0.828824,0.0644678,0.127236,0.182419,0.00413603,0.0569628,0.731975,0.0239468,0.0255159,0.593916,0.67157,0.308589,0.314163,0.0477753,0,0.795297,1,0.0207943,1,0.000289785,0.00222561
0.177911,0.0212477,0.207516,0.792484,0.0149925,0.340201,0.602806,0.00630248,0.0981621,0.742729,0.00371512,0.0213874,0.594502,0.671571,0.446027,0.314515,0.0253465,0,0.77467,1,0.0164741,1,0.00023613,0.00206007
0.154187,0.0095724,0.151465,0.848535,0.089955,0.161575,0.225815,0.00296124,0.0987146,0.729825,0.0221652,0.0241611,0.593889,0.671519,0.615848,0.302382,0.0672496,0,0.739555,1,0.0239823,1,0.000107889,0.00183136
0.167502,0.0051496,0.106509,0.893491,0.175412,0.26033,0.35838,0.00427477,0.110195,0.732,0,0.0263852,0.593915,0.671563,0.975007,0.311567,0.0477254,0,0.795016,1,0.0354902,1,7.89e+09,0.00222393
0.155577,0.0142132,0.180427,0.819573,0.095952,0.0802637,0.214536,0.000988425,0.139002,0.725202,0.0037725,0.0400936,0.593846,0.671568,0.733352,0.313268,0.0995219,0,0.71042,1,0.0195345,1,0.00015715,0.00186561
0.158822,0.0244412,0.216102,0.783898,0.10045,0.255093,0.295221,0.00397383,0.11592,0.728731,0.00934743,0.0928023,0.593893,0.671562,0.508089,0.310296,0.0607651,0,0.736619,1,0.0156631,0,0.000398483,0.00212074
0.176984,0.00527818,0.108202,0.891798,0.218891,0.361219,0.447942,0.00756496,0.0870418,0.734946,0.00534566,0.0254822,0.593937,0.671572,0.75577,0.314364,0.0302011,0,0.81535,1,0.0348886,0,9e+09,0.00236
0.184189,0.00226612,0.0585906,0.941409,0.154423,0.378625,0.414646,0.0119376,0.0580597,0.735182,0,0.0298841,0.593959,0.671576,0.906707,0.315376,0.0217105,0,0.803647,1,0.0658265,0,0.000168714,0.00227396
0.177447,0.00635424,0.121293,0.878707,0.347826,0.394951,0.577189,0.00760468,0.0945633,0.73718,0.00495068,0.0358911,0.593936,0.671572,0.734899,0.314645,0.0254943,0,0.804195,1,0.0308009,0,5.82e+09,0.0022692
